subset_id,chosen_cols,gSval_local,gSval_closed,gSval_half,discrepancy
4,[2],1.53,1.4,1.4,0.0
1,[0],1.62,1.43,1.43,0.0
16,[4],1.16,1.12,1.12,0.0
18,"[1, 4]",1.24,1.18,1.18,0.0
10,"[1, 3]",1.32,1.25,1.25,0.0
8,[3],1.33,1.25,1.25,0.0
13,"[0, 2, 3]",1.61,1.5,1.4,-0.03
5,"[0, 2]",1.63,1.5,1.5,0.07
3,"[0, 1]",1.58,1.43,1.43,0.0
17,"[0, 4]",1.58,1.43,1.43,0.0
6,"[1, 2]",1.5,1.4,1.4,0.0
7,"[0, 1, 2]",1.61,1.5,1.4,-0.03
11,"[0, 1, 3]",1.55,1.43,1.25,-0.18
14,"[1, 2, 3]",1.48,1.41,1.25,-0.15
19,"[0, 1, 4]",1.56,1.43,1.18,-0.25
9,"[0, 3]",1.58,1.43,1.43,0.0
12,"[2, 3]",1.5,1.4,1.4,0.0
15,"[0, 1, 2, 3]",1.59,1.5,1.41,-0.02
2,[1],1.27,1.18,1.18,0.0
37,"[0, 2, 5]",1.61,1.5,1.4,-0.03
26,"[1, 3, 4]",1.31,1.27,1.18,-0.07
21,"[0, 2, 4]",1.61,1.5,1.4,-0.03
32,[5],1.2,1.16,1.16,0.0
24,"[3, 4]",1.3,1.25,1.25,0.0
33,"[0, 5]",1.58,1.43,1.43,0.0
34,"[1, 5]",1.24,1.18,1.18,0.0
20,"[2, 4]",1.5,1.4,1.4,0.0
36,"[2, 5]",1.5,1.4,1.4,0.0
38,"[1, 2, 5]",1.48,1.4,1.18,-0.22
25,"[0, 3, 4]",1.56,1.43,1.25,-0.18
22,"[1, 2, 4]",1.48,1.41,1.18,-0.22
35,"[0, 1, 5]",1.56,1.43,1.18,-0.25
23,"[0, 1, 2, 4]",1.59,1.5,1.41,-0.02
39,"[0, 1, 2, 5]",1.59,1.5,1.4,-0.03
27,"[0, 1, 3, 4]",1.54,1.43,1.27,-0.16
30,"[1, 2, 3, 4]",1.46,1.41,1.27,-0.13
28,"[2, 3, 4]",1.48,1.4,1.25,-0.15
29,"[0, 2, 3, 4]",1.59,1.5,1.4,-0.03
50,"[1, 4, 5]",1.22,1.18,1.16,-0.02
40,"[3, 5]",1.31,1.26,1.26,0.01
42,"[1, 3, 5]",1.31,1.27,1.18,-0.07
48,"[4, 5]",1.19,1.16,1.16,0.0
49,"[0, 4, 5]",1.55,1.43,1.16,-0.27
41,"[0, 3, 5]",1.56,1.43,1.26,-0.17
51,"[0, 1, 4, 5]",1.54,1.43,1.18,-0.25
56,"[3, 4, 5]",1.3,1.26,1.16,-0.09
52,"[2, 4, 5]",1.48,1.4,1.16,-0.24
54,"[1, 2, 4, 5]",1.47,1.42,1.18,-0.22
53,"[0, 2, 4, 5]",1.59,1.5,1.4,-0.03
58,"[1, 3, 4, 5]",1.3,1.27,1.18,-0.07
43,"[0, 1, 3, 5]",1.54,1.43,1.27,-0.16
44,"[2, 3, 5]",1.48,1.4,1.26,-0.14
46,"[1, 2, 3, 5]",1.47,1.42,1.27,-0.13
64,[6],1.23,1.18,1.18,0.0
69,"[0, 2, 6]",1.61,1.5,1.4,-0.03
72,"[3, 6]",1.31,1.25,1.25,0.0
74,"[1, 3, 6]",1.31,1.25,1.2,-0.05
70,"[1, 2, 6]",1.48,1.4,1.2,-0.2
67,"[0, 1, 6]",1.56,1.43,1.2,-0.23
68,"[2, 6]",1.5,1.4,1.4,0.0
75,"[0, 1, 3, 6]",1.54,1.43,1.25,-0.18
76,"[2, 3, 6]",1.48,1.4,1.25,-0.15
66,"[1, 6]",1.24,1.2,1.2,0.02
73,"[0, 3, 6]",1.56,1.43,1.25,-0.18
71,"[0, 1, 2, 6]",1.59,1.5,1.4,-0.03
65,"[0, 6]",1.58,1.43,1.43,0.0
77,"[0, 2, 3, 6]",1.59,1.5,1.4,-0.03
78,"[1, 2, 3, 6]",1.47,1.42,1.25,-0.15
96,"[5, 6]",1.22,1.18,1.18,0.0
80,"[4, 6]",1.21,1.18,1.18,0.0
98,"[1, 5, 6]",1.23,1.2,1.18,-0.0
97,"[0, 5, 6]",1.55,1.43,1.18,-0.25
88,"[3, 4, 6]",1.29,1.26,1.18,-0.07
99,"[0, 1, 5, 6]",1.54,1.43,1.2,-0.23
81,"[0, 4, 6]",1.55,1.43,1.18,-0.25
90,"[1, 3, 4, 6]",1.3,1.27,1.2,-0.05
82,"[1, 4, 6]",1.23,1.2,1.18,-0.0
84,"[2, 4, 6]",1.48,1.4,1.18,-0.22
86,"[1, 2, 4, 6]",1.47,1.42,1.2,-0.2
85,"[0, 2, 4, 6]",1.59,1.5,1.4,-0.03
83,"[0, 1, 4, 6]",1.54,1.43,1.2,-0.23
59,"[0, 1, 3, 4, 5]",1.53,1.43,1.18,-0.25
114,"[1, 4, 5, 6]",1.22,1.2,1.18,-0.0
112,"[4, 5, 6]",1.21,1.18,1.16,-0.02
104,"[3, 5, 6]",1.3,1.26,1.18,-0.07
100,"[2, 5, 6]",1.48,1.4,1.18,-0.22
106,"[1, 3, 5, 6]",1.3,1.27,1.2,-0.05
102,"[1, 2, 5, 6]",1.47,1.4,1.2,-0.2
57,"[0, 3, 4, 5]",1.54,1.43,1.26,-0.17
136,"[3, 7]",1.31,1.25,1.25,0.0
128,[7],1.24,1.19,1.19,0.0
138,"[1, 3, 7]",1.32,1.25,1.2,-0.05
133,"[0, 2, 7]",1.61,1.5,1.4,-0.03
137,"[0, 3, 7]",1.56,1.45,1.25,-0.18
130,"[1, 7]",1.26,1.2,1.2,0.01
132,"[2, 7]",1.5,1.4,1.4,0.0
135,"[0, 1, 2, 7]",1.59,1.5,1.42,-0.01
139,"[0, 1, 3, 7]",1.54,1.45,1.25,-0.18
131,"[0, 1, 7]",1.56,1.43,1.2,-0.23
129,"[0, 7]",1.58,1.43,1.43,0.0
134,"[1, 2, 7]",1.48,1.42,1.2,-0.2
60,"[2, 3, 4, 5]",1.46,1.4,1.26,-0.14
144,"[4, 7]",1.23,1.19,1.19,0.0
148,"[2, 4, 7]",1.46,1.4,1.19,-0.21
152,"[3, 4, 7]",1.3,1.26,1.19,-0.06
140,"[2, 3, 7]",1.48,1.4,1.25,-0.15
146,"[1, 4, 7]",1.25,1.2,1.18,-0.01
147,"[0, 1, 4, 7]",1.54,1.43,1.2,-0.23
145,"[0, 4, 7]",1.56,1.43,1.19,-0.24
154,"[1, 3, 4, 7]",1.3,1.27,1.2,-0.05
92,"[2, 3, 4, 6]",1.46,1.4,1.26,-0.14
142,"[1, 2, 3, 7]",1.47,1.42,1.25,-0.15
150,"[1, 2, 4, 7]",1.47,1.42,1.2,-0.2
149,"[0, 2, 4, 7]",1.59,1.5,1.4,-0.03
141,"[0, 2, 3, 7]",1.59,1.5,1.4,-0.03
47,"[0, 1, 2, 3, 5]",1.58,1.5,1.27,-0.16
113,"[0, 4, 5, 6]",1.54,1.43,1.18,-0.25
89,"[0, 3, 4, 6]",1.54,1.43,1.26,-0.17
116,"[2, 4, 5, 6]",1.46,1.4,1.18,-0.22
160,"[5, 7]",1.25,1.2,1.2,0.01
170,"[1, 3, 5, 7]",1.31,1.27,1.2,-0.05
176,"[4, 5, 7]",1.24,1.2,1.16,-0.03
163,"[0, 1, 5, 7]",1.54,1.43,1.2,-0.23
161,"[0, 5, 7]",1.56,1.43,1.2,-0.23
162,"[1, 5, 7]",1.26,1.2,1.18,-0.01
164,"[2, 5, 7]",1.48,1.4,1.2,-0.2
178,"[1, 4, 5, 7]",1.25,1.2,1.18,-0.01
168,"[3, 5, 7]",1.3,1.26,1.2,-0.05
166,"[1, 2, 5, 7]",1.47,1.42,1.2,-0.2
55,"[0, 1, 2, 4, 5]",1.58,1.5,1.18,-0.25
115,"[0, 1, 4, 5, 6]",1.53,1.43,1.18,-0.25
123,"[0, 1, 3, 4, 5, 6]",1.51,1.43,1.2,-0.23
105,"[0, 3, 5, 6]",1.54,1.43,1.26,-0.17
79,"[0, 1, 2, 3, 6]",1.58,1.5,1.25,-0.18
192,"[6, 7]",1.25,1.2,1.2,0.01
193,"[0, 6, 7]",1.56,1.43,1.2,-0.23
194,"[1, 6, 7]",1.26,1.2,1.2,0.01
195,"[0, 1, 6, 7]",1.54,1.43,1.2,-0.23
196,"[2, 6, 7]",1.48,1.4,1.2,-0.2
198,"[1, 2, 6, 7]",1.47,1.42,1.2,-0.2
197,"[0, 2, 6, 7]",1.59,1.5,1.4,-0.03
108,"[2, 3, 5, 6]",1.46,1.4,1.26,-0.14
91,"[0, 1, 3, 4, 6]",1.52,1.43,1.2,-0.23
31,"[0, 1, 2, 3, 4]",1.58,1.5,1.27,-0.16
208,"[4, 6, 7]",1.24,1.2,1.18,-0.01
200,"[3, 6, 7]",1.3,1.25,1.2,-0.05
210,"[1, 4, 6, 7]",1.25,1.2,1.2,0.01
107,"[0, 1, 3, 5, 6]",1.53,1.43,1.2,-0.23
202,"[1, 3, 6, 7]",1.3,1.25,1.2,-0.05
120,"[3, 4, 5, 6]",1.29,1.26,1.18,-0.07
93,"[0, 2, 3, 4, 6]",1.57,1.5,1.26,-0.17
177,"[0, 4, 5, 7]",1.53,1.43,1.2,-0.23
87,"[0, 1, 2, 4, 6]",1.58,1.5,1.2,-0.23
124,"[2, 3, 4, 5, 6]",1.45,1.4,1.18,-0.22
110,"[1, 2, 3, 5, 6]",1.46,1.42,1.2,-0.2
179,"[0, 1, 4, 5, 7]",1.53,1.43,1.18,-0.25
101,"[0, 2, 5, 6]",1.59,1.5,1.4,-0.03
224,"[5, 6, 7]",1.24,1.2,1.18,-0.01
226,"[1, 5, 6, 7]",1.26,1.2,1.2,0.01
156,"[2, 3, 4, 7]",1.46,1.4,1.26,-0.14
217,"[0, 3, 4, 6, 7]",1.5,1.46,1.2,-0.23
122,"[1, 3, 4, 5, 6]",1.29,1.27,1.18,-0.07
121,"[0, 3, 4, 5, 6]",1.52,1.43,1.18,-0.25
117,"[0, 2, 4, 5, 6]",1.58,1.5,1.18,-0.25
256,[8],1.11,1.08,1.08,0.0
258,"[1, 8]",1.24,1.18,1.18,0.0
126,"[1, 2, 3, 4, 5, 6]",1.45,1.42,1.2,-0.2
259,"[0, 1, 8]",1.55,1.43,1.18,-0.25
257,"[0, 8]",1.58,1.43,1.43,0.0
118,"[1, 2, 4, 5, 6]",1.46,1.42,1.18,-0.22
94,"[1, 2, 3, 4, 6]",1.46,1.42,1.2,-0.2
153,"[0, 3, 4, 7]",1.54,1.45,1.26,-0.17
155,"[0, 1, 3, 4, 7]",1.53,1.45,1.2,-0.23
158,"[1, 2, 3, 4, 7]",1.46,1.42,1.2,-0.2
109,"[0, 2, 3, 5, 6]",1.58,1.5,1.26,-0.17
266,"[1, 3, 8]",1.31,1.26,1.18,-0.07
272,"[4, 8]",1.15,1.12,1.12,0.0
261,"[0, 2, 8]",1.61,1.5,1.4,-0.03
264,"[3, 8]",1.3,1.25,1.25,0.0
62,"[1, 2, 3, 4, 5]",1.46,1.42,1.18,-0.22
260,"[2, 8]",1.49,1.4,1.4,0.0
273,"[0, 4, 8]",1.55,1.43,1.12,-0.31
267,"[0, 1, 3, 8]",1.54,1.45,1.26,-0.17
268,"[2, 3, 8]",1.48,1.4,1.25,-0.15
171,"[0, 1, 3, 5, 7]",1.53,1.45,1.2,-0.23
265,"[0, 3, 8]",1.55,1.45,1.25,-0.18
262,"[1, 2, 8]",1.48,1.4,1.18,-0.22
270,"[1, 2, 3, 8]",1.47,1.41,1.26,-0.14
119,"[0, 1, 2, 4, 5, 6]",1.57,1.5,1.2,-0.23
263,"[0, 1, 2, 8]",1.59,1.5,1.4,-0.03
269,"[0, 2, 3, 8]",1.59,1.5,1.4,-0.03
201,"[0, 3, 6, 7]",1.54,1.46,1.25,-0.18
185,"[0, 3, 4, 5, 7]",1.53,1.45,1.2,-0.23
184,"[3, 4, 5, 7]",1.29,1.26,1.2,-0.05
211,"[0, 1, 4, 6, 7]",1.53,1.43,1.2,-0.23
188,"[2, 3, 4, 5, 7]",1.45,1.4,1.2,-0.2
209,"[0, 4, 6, 7]",1.54,1.43,1.2,-0.23
180,"[2, 4, 5, 7]",1.46,1.4,1.2,-0.2
274,"[1, 4, 8]",1.22,1.18,1.12,-0.06
275,"[0, 1, 4, 8]",1.54,1.43,1.18,-0.25
291,"[0, 1, 5, 8]",1.54,1.43,1.18,-0.25
276,"[2, 4, 8]",1.48,1.4,1.12,-0.28
151,"[0, 1, 2, 4, 7]",1.58,1.5,1.2,-0.23
288,"[5, 8]",1.19,1.16,1.16,0.0
290,"[1, 5, 8]",1.22,1.18,1.16,-0.02
292,"[2, 5, 8]",1.48,1.4,1.16,-0.24
278,"[1, 2, 4, 8]",1.47,1.41,1.18,-0.22
289,"[0, 5, 8]",1.56,1.43,1.16,-0.27
280,"[3, 4, 8]",1.29,1.25,1.12,-0.13
282,"[1, 3, 4, 8]",1.29,1.27,1.18,-0.07
277,"[0, 2, 4, 8]",1.59,1.5,1.4,-0.03
241,"[0, 4, 5, 6, 7]",1.52,1.43,1.18,-0.25
172,"[2, 3, 5, 7]",1.46,1.4,1.26,-0.14
169,"[0, 3, 5, 7]",1.54,1.45,1.26,-0.17
225,"[0, 5, 6, 7]",1.54,1.43,1.2,-0.23
212,"[2, 4, 6, 7]",1.46,1.4,1.2,-0.2
45,"[0, 2, 3, 5]",1.59,1.5,1.4,-0.03
95,"[0, 1, 2, 3, 4, 6]",1.57,1.5,1.27,-0.16
204,"[2, 3, 6, 7]",1.46,1.4,1.25,-0.15
157,"[0, 2, 3, 4, 7]",1.58,1.5,1.26,-0.17
296,"[3, 5, 8]",1.3,1.26,1.16,-0.09
304,"[4, 5, 8]",1.18,1.16,1.12,-0.04
306,"[1, 4, 5, 8]",1.21,1.18,1.16,-0.02
182,"[1, 2, 4, 5, 7]",1.45,1.42,1.18,-0.22
298,"[1, 3, 5, 8]",1.3,1.27,1.18,-0.07
165,"[0, 2, 5, 7]",1.59,1.5,1.4,-0.03
243,"[0, 1, 4, 5, 6, 7]",1.52,1.43,1.2,-0.23
232,"[3, 5, 6, 7]",1.29,1.26,1.2,-0.05
294,"[1, 2, 5, 8]",1.47,1.4,1.18,-0.22
216,"[3, 4, 6, 7]",1.29,1.26,1.2,-0.05
111,"[0, 1, 2, 3, 5, 6]",1.57,1.5,1.27,-0.16
219,"[0, 1, 3, 4, 6, 7]",1.5,1.46,1.2,-0.23
227,"[0, 1, 5, 6, 7]",1.53,1.43,1.2,-0.23
203,"[0, 1, 3, 6, 7]",1.53,1.46,1.2,-0.23
320,"[6, 8]",1.21,1.18,1.18,0.0
322,"[1, 6, 8]",1.23,1.2,1.18,-0.0
321,"[0, 6, 8]",1.56,1.43,1.18,-0.25
220,"[2, 3, 4, 6, 7]",1.45,1.4,1.2,-0.2
324,"[2, 6, 8]",1.48,1.4,1.18,-0.22
328,"[3, 6, 8]",1.29,1.26,1.18,-0.07
323,"[0, 1, 6, 8]",1.54,1.43,1.2,-0.23
330,"[1, 3, 6, 8]",1.3,1.27,1.2,-0.05
190,"[1, 2, 3, 4, 5, 7]",1.45,1.42,1.2,-0.2
236,"[2, 3, 5, 6, 7]",1.45,1.4,1.2,-0.2
187,"[0, 1, 3, 4, 5, 7]",1.52,1.45,1.2,-0.23
228,"[2, 5, 6, 7]",1.46,1.4,1.2,-0.2
63,"[0, 1, 2, 3, 4, 5]",1.57,1.5,1.27,-0.16
103,"[0, 1, 2, 5, 6]",1.58,1.5,1.2,-0.23
186,"[1, 3, 4, 5, 7]",1.3,1.27,1.18,-0.07
338,"[1, 4, 6, 8]",1.22,1.2,1.18,-0.0
336,"[4, 6, 8]",1.19,1.18,1.12,-0.06
242,"[1, 4, 5, 6, 7]",1.25,1.2,1.18,-0.01
240,"[4, 5, 6, 7]",1.23,1.2,1.18,-0.01
332,"[2, 3, 6, 8]",1.42,1.4,1.26,-0.14
206,"[1, 2, 3, 6, 7]",1.46,1.42,1.2,-0.2
284,"[2, 3, 4, 8]",1.46,1.4,1.25,-0.15
244,"[2, 4, 5, 6, 7]",1.45,1.4,1.18,-0.22
287,"[0, 1, 2, 3, 4, 8]",1.52,1.5,1.27,-0.16
249,"[0, 3, 4, 5, 6, 7]",1.52,1.48,1.2,-0.23
250,"[1, 3, 4, 5, 6, 7]",1.29,1.27,1.2,-0.05
281,"[0, 3, 4, 8]",1.54,1.45,1.25,-0.18
345,"[0, 3, 4, 6, 8]",1.5,1.45,1.18,-0.25
352,"[5, 6, 8]",1.21,1.18,1.16,-0.02
354,"[1, 5, 6, 8]",1.22,1.2,1.18,-0.0
167,"[0, 1, 2, 5, 7]",1.58,1.5,1.2,-0.23
248,"[3, 4, 5, 6, 7]",1.29,1.26,1.18,-0.07
213,"[0, 2, 4, 6, 7]",1.58,1.5,1.2,-0.23
218,"[1, 3, 4, 6, 7]",1.3,1.27,1.2,-0.05
235,"[0, 1, 3, 5, 6, 7]",1.52,1.47,1.2,-0.23
125,"[0, 2, 3, 4, 5, 6]",1.57,1.5,1.26,-0.17
313,"[0, 3, 4, 5, 8]",1.53,1.45,1.16,-0.27
181,"[0, 2, 4, 5, 7]",1.58,1.5,1.2,-0.23
305,"[0, 4, 5, 8]",1.54,1.43,1.16,-0.27
300,"[2, 3, 5, 8]",1.46,1.4,1.26,-0.14
229,"[0, 2, 5, 6, 7]",1.58,1.5,1.2,-0.23
159,"[0, 1, 2, 3, 4, 7]",1.57,1.5,1.27,-0.16
307,"[0, 1, 4, 5, 8]",1.53,1.43,1.16,-0.27
283,"[0, 1, 3, 4, 8]",1.53,1.45,1.18,-0.25
251,"[0, 1, 3, 4, 5, 6, 7]",1.51,1.48,1.2,-0.23
297,"[0, 3, 5, 8]",1.54,1.45,1.26,-0.17
183,"[0, 1, 2, 4, 5, 7]",1.57,1.5,1.2,-0.23
233,"[0, 3, 5, 6, 7]",1.53,1.46,1.2,-0.23
234,"[1, 3, 5, 6, 7]",1.3,1.27,1.2,-0.05
199,"[0, 1, 2, 6, 7]",1.58,1.5,1.2,-0.23
340,"[2, 4, 6, 8]",1.45,1.4,1.18,-0.22
205,"[0, 2, 3, 6, 7]",1.58,1.5,1.25,-0.18
215,"[0, 1, 2, 4, 6, 7]",1.57,1.5,1.2,-0.23
246,"[1, 2, 4, 5, 6, 7]",1.45,1.42,1.2,-0.2
314,"[1, 3, 4, 5, 8]",1.29,1.27,1.16,-0.09
315,"[0, 1, 3, 4, 5, 8]",1.51,1.45,1.18,-0.25
189,"[0, 2, 3, 4, 5, 7]",1.57,1.5,1.26,-0.17
308,"[2, 4, 5, 8]",1.46,1.4,1.16,-0.24
175,"[0, 1, 2, 3, 5, 7]",1.57,1.5,1.27,-0.16
127,"[0, 1, 2, 3, 4, 5, 6]",1.56,1.5,1.2,-0.23
316,"[2, 3, 4, 5, 8]",1.45,1.4,1.16,-0.24
245,"[0, 2, 4, 5, 6, 7]",1.56,1.5,1.2,-0.23
293,"[0, 2, 5, 8]",1.59,1.5,1.4,-0.03
344,"[3, 4, 6, 8]",1.28,1.26,1.18,-0.07
254,"[1, 2, 3, 4, 5, 6, 7]",1.44,1.42,1.2,-0.2
370,"[1, 4, 5, 6, 8]",1.21,1.2,1.16,-0.02
339,"[0, 1, 4, 6, 8]",1.52,1.43,1.18,-0.25
400,"[4, 7, 8]",1.21,1.19,1.12,-0.07
384,"[7, 8]",1.22,1.19,1.19,0.0
385,"[0, 7, 8]",1.55,1.43,1.19,-0.24
387,"[0, 1, 7, 8]",1.54,1.43,1.2,-0.23
402,"[1, 4, 7, 8]",1.24,1.2,1.18,-0.01
386,"[1, 7, 8]",1.25,1.2,1.18,-0.01
392,"[3, 7, 8]",1.3,1.26,1.19,-0.06
353,"[0, 5, 6, 8]",1.54,1.43,1.18,-0.25
390,"[1, 2, 7, 8]",1.47,1.42,1.2,-0.2
173,"[0, 2, 3, 5, 7]",1.58,1.5,1.26,-0.17
394,"[1, 3, 7, 8]",1.3,1.26,1.2,-0.05
230,"[1, 2, 5, 6, 7]",1.46,1.42,1.2,-0.2
331,"[0, 1, 3, 6, 8]",1.53,1.45,1.2,-0.23
286,"[1, 2, 3, 4, 8]",1.46,1.41,1.18,-0.22
355,"[0, 1, 5, 6, 8]",1.53,1.43,1.18,-0.25
356,"[2, 5, 6, 8]",1.46,1.4,1.18,-0.22
174,"[1, 2, 3, 5, 7]",1.46,1.42,1.2,-0.2
348,"[2, 3, 4, 6, 8]",1.44,1.4,1.18,-0.22
325,"[0, 2, 6, 8]",1.59,1.5,1.4,-0.03
302,"[1, 2, 3, 5, 8]",1.46,1.42,1.18,-0.22
279,"[0, 1, 2, 4, 8]",1.58,1.5,1.18,-0.25
368,"[4, 5, 6, 8]",1.2,1.18,1.16,-0.02
191,"[0, 1, 2, 3, 4, 5, 7]",1.56,1.5,1.2,-0.23
416,"[5, 7, 8]",1.24,1.2,1.16,-0.03
61,"[0, 2, 3, 4, 5]",1.58,1.5,1.26,-0.17
418,"[1, 5, 7, 8]",1.25,1.2,1.18,-0.01
299,"[0, 1, 3, 5, 8]",1.53,1.45,1.18,-0.25
238,"[1, 2, 3, 5, 6, 7]",1.45,1.42,1.2,-0.2
360,"[3, 5, 6, 8]",1.29,1.26,1.18,-0.07
295,"[0, 1, 2, 5, 8]",1.58,1.5,1.18,-0.25
285,"[0, 2, 3, 4, 8]",1.58,1.5,1.25,-0.18
341,"[0, 2, 4, 6, 8]",1.58,1.5,1.18,-0.25
271,"[0, 1, 2, 3, 8]",1.58,1.5,1.26,-0.17
334,"[1, 2, 3, 6, 8]",1.46,1.42,1.2,-0.2
363,"[0, 1, 3, 5, 6, 8]",1.52,1.45,1.2,-0.23
143,"[0, 1, 2, 3, 7]",1.58,1.5,1.25,-0.18
376,"[3, 4, 5, 6, 8]",1.28,1.26,1.16,-0.09
237,"[0, 2, 3, 5, 6, 7]",1.57,1.5,1.26,-0.17
379,"[0, 1, 3, 4, 5, 6, 8]",1.51,1.45,1.18,-0.25
239,"[0, 1, 2, 3, 5, 6, 7]",1.56,1.5,1.2,-0.23
372,"[2, 4, 5, 6, 8]",1.45,1.4,1.16,-0.24
327,"[0, 1, 2, 6, 8]",1.58,1.5,1.2,-0.23
448,"[6, 7, 8]",1.24,1.2,1.18,-0.01
361,"[0, 3, 5, 6, 8]",1.53,1.45,1.18,-0.25
357,"[0, 2, 5, 6, 8]",1.57,1.5,1.18,-0.25
401,"[0, 4, 7, 8]",1.54,1.43,1.19,-0.24
342,"[1, 2, 4, 6, 8]",1.46,1.42,1.18,-0.22
369,"[0, 4, 5, 6, 8]",1.53,1.43,1.16,-0.27
221,"[0, 2, 3, 4, 6, 7]",1.57,1.5,1.26,-0.17
333,"[0, 2, 3, 6, 8]",1.58,1.5,1.26,-0.17
223,"[0, 1, 2, 3, 4, 6, 7]",1.56,1.5,1.2,-0.23
255,"[0, 1, 2, 3, 4, 5, 6, 7]",1.55,1.5,1.2,-0.23
364,"[2, 3, 5, 6, 8]",1.45,1.4,1.18,-0.22
396,"[2, 3, 7, 8]",1.46,1.4,1.26,-0.14
450,"[1, 6, 7, 8]",1.25,1.2,1.2,0.01
362,"[1, 3, 5, 6, 8]",1.29,1.27,1.18,-0.07
207,"[0, 1, 2, 3, 6, 7]",1.57,1.5,1.25,-0.18
417,"[0, 5, 7, 8]",1.54,1.43,1.2,-0.23
377,"[0, 3, 4, 5, 6, 8]",1.52,1.45,1.18,-0.25
371,"[0, 1, 4, 5, 6, 8]",1.52,1.43,1.18,-0.25
247,"[0, 1, 2, 4, 5, 6, 7]",1.56,1.5,1.2,-0.23
398,"[1, 2, 3, 7, 8]",1.45,1.42,1.2,-0.2
409,"[0, 3, 4, 7, 8]",1.52,1.45,1.19,-0.24
253,"[0, 2, 3, 4, 5, 6, 7]",1.56,1.5,1.2,-0.23
436,"[2, 4, 5, 7, 8]",1.42,1.4,1.16,-0.24
393,"[0, 3, 7, 8]",1.54,1.45,1.26,-0.17
231,"[0, 1, 2, 5, 6, 7]",1.57,1.5,1.2,-0.23
404,"[2, 4, 7, 8]",1.46,1.4,1.19,-0.21
318,"[1, 2, 3, 4, 5, 8]",1.45,1.42,1.18,-0.22
311,"[0, 1, 2, 4, 5, 8]",1.57,1.5,1.18,-0.25
303,"[0, 1, 2, 3, 5, 8]",1.57,1.5,1.27,-0.16
389,"[0, 2, 7, 8]",1.59,1.5,1.4,-0.03
403,"[0, 1, 4, 7, 8]",1.53,1.43,1.18,-0.25
366,"[1, 2, 3, 5, 6, 8]",1.45,1.42,1.2,-0.2
420,"[2, 5, 7, 8]",1.46,1.4,1.2,-0.2
347,"[0, 1, 3, 4, 6, 8]",1.51,1.45,1.2,-0.23
380,"[2, 3, 4, 5, 6, 8]",1.44,1.4,1.18,-0.22
412,"[2, 3, 4, 7, 8]",1.45,1.4,1.19,-0.21
359,"[0, 1, 2, 5, 6, 8]",1.57,1.5,1.2,-0.23
432,"[4, 5, 7, 8]",1.23,1.2,1.16,-0.03
382,"[1, 2, 3, 4, 5, 6, 8]",1.44,1.42,1.18,-0.22
433,"[0, 4, 5, 7, 8]",1.53,1.43,1.16,-0.27
343,"[0, 1, 2, 4, 6, 8]",1.57,1.5,1.2,-0.23
391,"[0, 1, 2, 7, 8]",1.58,1.5,1.2,-0.23
301,"[0, 2, 3, 5, 8]",1.58,1.5,1.26,-0.17
358,"[1, 2, 5, 6, 8]",1.46,1.4,1.18,-0.22
435,"[0, 1, 4, 5, 7, 8]",1.52,1.43,1.18,-0.25
411,"[0, 1, 3, 4, 7, 8]",1.52,1.45,1.2,-0.23
