subset_id,chosen_cols,gSval_local,chosen_cols_set,gSval_closed,gSval_half,half_minus_max(closed),gSval_naive,gSval_diff,gSval_naive_half,half_diff
8,[3],1.31,frozenset({3}),1.26,1.26,0.0,1.25,0.01,1.25,0.01
4,[2],1.41,frozenset({2}),1.35,1.35,0.0,1.34,0.01,1.34,0.01
16,[4],1.15,frozenset({4}),1.12,1.12,0.0,1.11,0.01,1.11,0.01
10,"[1, 3]",1.52,"frozenset({1, 3})",1.45,1.45,0.0,1.44,0.01,1.44,0.01
3,"[0, 1]",1.55,"frozenset({0, 1})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
9,"[0, 3]",1.55,"frozenset({0, 3})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
17,"[0, 4]",1.55,"frozenset({0, 4})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
6,"[1, 2]",1.56,"frozenset({1, 2})",1.48,1.48,0.03,1.44,0.04,1.44,0.04
5,"[0, 2]",1.58,"frozenset({0, 2})",1.49,1.49,0.02,1.46,0.03,1.46,0.03
18,"[1, 4]",1.52,"frozenset({1, 4})",1.45,1.45,0.0,1.44,0.01,1.44,0.01
1,[0],1.6,frozenset({0}),1.47,1.47,0.0,1.46,0.01,1.46,0.01
11,"[0, 1, 3]",1.53,"frozenset({0, 1, 3})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
2,[1],1.56,frozenset({1}),1.45,1.45,0.0,1.44,0.01,1.44,0.01
12,"[2, 3]",1.4,"frozenset({2, 3})",1.35,1.35,0.0,1.34,0.01,1.34,0.01
7,"[0, 1, 2]",1.56,"frozenset({0, 1, 2})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
14,"[1, 2, 3]",1.54,"frozenset({1, 2, 3})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
19,"[0, 1, 4]",1.53,"frozenset({0, 1, 4})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
15,"[0, 1, 2, 3]",1.54,"frozenset({0, 1, 2, 3})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
13,"[0, 2, 3]",1.56,"frozenset({0, 2, 3})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
35,"[0, 1, 5]",1.53,"frozenset({0, 1, 5})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
38,"[1, 2, 5]",1.53,"frozenset({1, 2, 5})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
20,"[2, 4]",1.39,"frozenset({2, 4})",1.35,1.35,0.0,1.34,0.01,1.34,0.01
27,"[0, 1, 3, 4]",1.52,"frozenset({0, 1, 3, 4})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
36,"[2, 5]",1.39,"frozenset({2, 5})",1.35,1.35,0.0,1.34,0.01,1.34,0.01
25,"[0, 3, 4]",1.53,"frozenset({0, 3, 4})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
39,"[0, 1, 2, 5]",1.54,"frozenset({0, 1, 2, 5})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
21,"[0, 2, 4]",1.56,"frozenset({0, 2, 4})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
22,"[1, 2, 4]",1.54,"frozenset({1, 2, 4})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
37,"[0, 2, 5]",1.56,"frozenset({0, 2, 5})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
24,"[3, 4]",1.29,"frozenset({3, 4})",1.26,1.26,0.0,1.25,0.01,1.25,0.01
28,"[2, 3, 4]",1.38,"frozenset({2, 3, 4})",1.35,1.26,-0.09,1.34,0.01,1.25,0.01
23,"[0, 1, 2, 4]",1.54,"frozenset({0, 1, 2, 4})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
29,"[0, 2, 3, 4]",1.54,"frozenset({0, 2, 3, 4})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
30,"[1, 2, 3, 4]",1.53,"frozenset({1, 2, 3, 4})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
26,"[1, 3, 4]",1.5,"frozenset({1, 3, 4})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
34,"[1, 5]",1.52,"frozenset({1, 5})",1.45,1.45,0.0,1.44,0.01,1.44,0.01
32,[5],1.19,frozenset({5}),1.15,1.15,0.0,1.15,0.0,1.15,0.0
33,"[0, 5]",1.55,"frozenset({0, 5})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
41,"[0, 3, 5]",1.53,"frozenset({0, 3, 5})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
40,"[3, 5]",1.3,"frozenset({3, 5})",1.26,1.26,0.0,1.25,0.01,1.25,0.01
51,"[0, 1, 4, 5]",1.52,"frozenset({0, 1, 4, 5})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
43,"[0, 1, 3, 5]",1.52,"frozenset({0, 1, 3, 5})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
49,"[0, 4, 5]",1.53,"frozenset({0, 4, 5})",1.47,1.15,-0.32,1.46,0.01,1.15,0.0
48,"[4, 5]",1.18,"frozenset({4, 5})",1.15,1.15,0.0,1.15,0.0,1.15,0.0
54,"[1, 2, 4, 5]",1.52,"frozenset({1, 2, 4, 5})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
52,"[2, 4, 5]",1.38,"frozenset({2, 4, 5})",1.35,1.15,-0.2,1.34,0.01,1.15,0.0
50,"[1, 4, 5]",1.5,"frozenset({1, 4, 5})",1.45,1.15,-0.3,1.44,0.01,1.15,0.0
53,"[0, 2, 4, 5]",1.54,"frozenset({0, 2, 4, 5})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
44,"[2, 3, 5]",1.39,"frozenset({2, 3, 5})",1.35,1.26,-0.09,1.34,0.01,1.25,0.01
42,"[1, 3, 5]",1.5,"frozenset({1, 3, 5})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
56,"[3, 4, 5]",1.29,"frozenset({3, 4, 5})",1.26,1.15,-0.11,1.25,0.01,1.15,0.0
66,"[1, 6]",1.52,"frozenset({1, 6})",1.45,1.45,0.0,1.44,0.01,1.44,0.01
64,[6],1.21,frozenset({6}),1.16,1.16,0.0,1.16,0.0,1.16,0.0
67,"[0, 1, 6]",1.53,"frozenset({0, 1, 6})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
65,"[0, 6]",1.55,"frozenset({0, 6})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
75,"[0, 1, 3, 6]",1.52,"frozenset({0, 1, 3, 6})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
73,"[0, 3, 6]",1.53,"frozenset({0, 3, 6})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
72,"[3, 6]",1.3,"frozenset({3, 6})",1.26,1.26,0.0,1.25,0.01,1.25,0.01
70,"[1, 2, 6]",1.54,"frozenset({1, 2, 6})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
71,"[0, 1, 2, 6]",1.54,"frozenset({0, 1, 2, 6})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
68,"[2, 6]",1.39,"frozenset({2, 6})",1.35,1.35,0.0,1.34,0.01,1.34,0.01
74,"[1, 3, 6]",1.5,"frozenset({1, 3, 6})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
78,"[1, 2, 3, 6]",1.53,"frozenset({1, 2, 3, 6})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
77,"[0, 2, 3, 6]",1.54,"frozenset({0, 2, 3, 6})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
76,"[2, 3, 6]",1.39,"frozenset({2, 3, 6})",1.35,1.26,-0.09,1.34,0.01,1.25,0.01
69,"[0, 2, 6]",1.56,"frozenset({0, 2, 6})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
96,"[5, 6]",1.21,"frozenset({5, 6})",1.17,1.17,0.01,1.16,0.01,1.16,0.01
97,"[0, 5, 6]",1.53,"frozenset({0, 5, 6})",1.47,1.17,-0.3,1.46,0.01,1.16,0.01
83,"[0, 1, 4, 6]",1.52,"frozenset({0, 1, 4, 6})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
81,"[0, 4, 6]",1.53,"frozenset({0, 4, 6})",1.47,1.16,-0.31,1.46,0.01,1.16,0.0
99,"[0, 1, 5, 6]",1.52,"frozenset({0, 1, 5, 6})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
86,"[1, 2, 4, 6]",1.52,"frozenset({1, 2, 4, 6})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
88,"[3, 4, 6]",1.28,"frozenset({3, 4, 6})",1.26,1.16,-0.1,1.25,0.01,1.16,0.0
98,"[1, 5, 6]",1.5,"frozenset({1, 5, 6})",1.45,1.17,-0.28,1.44,0.01,1.16,0.01
84,"[2, 4, 6]",1.38,"frozenset({2, 4, 6})",1.35,1.16,-0.19,1.34,0.01,1.16,0.0
82,"[1, 4, 6]",1.5,"frozenset({1, 4, 6})",1.45,1.16,-0.29,1.44,0.01,1.16,0.0
85,"[0, 2, 4, 6]",1.54,"frozenset({0, 2, 4, 6})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
31,"[0, 1, 2, 3, 4]",1.53,"frozenset({0, 1, 2, 3, 4})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
80,"[4, 6]",1.19,"frozenset({4, 6})",1.16,1.16,0.0,1.16,0.0,1.16,0.0
58,"[1, 3, 4, 5]",1.49,"frozenset({1, 3, 4, 5})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
59,"[0, 1, 3, 4, 5]",1.51,"frozenset({0, 1, 3, 4, 5})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
100,"[2, 5, 6]",1.38,"frozenset({2, 5, 6})",1.35,1.17,-0.18,1.34,0.01,1.16,0.01
104,"[3, 5, 6]",1.29,"frozenset({3, 5, 6})",1.26,1.17,-0.09,1.25,0.01,1.16,0.01
112,"[4, 5, 6]",1.19,"frozenset({4, 5, 6})",1.17,1.15,-0.01,1.16,0.01,1.15,0.0
57,"[0, 3, 4, 5]",1.52,"frozenset({0, 3, 4, 5})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
136,"[3, 7]",1.31,"frozenset({3, 7})",1.26,1.26,0.0,1.25,0.01,1.25,0.01
137,"[0, 3, 7]",1.53,"frozenset({0, 3, 7})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
131,"[0, 1, 7]",1.53,"frozenset({0, 1, 7})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
139,"[0, 1, 3, 7]",1.52,"frozenset({0, 1, 3, 7})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
135,"[0, 1, 2, 7]",1.54,"frozenset({0, 1, 2, 7})",1.49,1.47,0.0,1.46,0.03,1.44,0.03
133,"[0, 2, 7]",1.56,"frozenset({0, 2, 7})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
138,"[1, 3, 7]",1.5,"frozenset({1, 3, 7})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
128,[7],1.24,frozenset({7}),1.2,1.2,0.0,1.19,0.01,1.19,0.01
130,"[1, 7]",1.52,"frozenset({1, 7})",1.45,1.45,0.0,1.44,0.01,1.44,0.01
129,"[0, 7]",1.55,"frozenset({0, 7})",1.47,1.47,0.0,1.46,0.01,1.46,0.01
113,"[0, 4, 5, 6]",1.52,"frozenset({0, 4, 5, 6})",1.47,1.17,-0.3,1.46,0.01,1.16,0.01
144,"[4, 7]",1.23,"frozenset({4, 7})",1.2,1.2,0.0,1.19,0.01,1.19,0.01
134,"[1, 2, 7]",1.54,"frozenset({1, 2, 7})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
145,"[0, 4, 7]",1.53,"frozenset({0, 4, 7})",1.47,1.2,-0.27,1.46,0.01,1.19,0.01
147,"[0, 1, 4, 7]",1.52,"frozenset({0, 1, 4, 7})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
132,"[2, 7]",1.39,"frozenset({2, 7})",1.35,1.35,0.0,1.34,0.01,1.34,0.01
150,"[1, 2, 4, 7]",1.52,"frozenset({1, 2, 4, 7})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
146,"[1, 4, 7]",1.5,"frozenset({1, 4, 7})",1.45,1.2,-0.25,1.44,0.01,1.19,0.01
149,"[0, 2, 4, 7]",1.54,"frozenset({0, 2, 4, 7})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
89,"[0, 3, 4, 6]",1.52,"frozenset({0, 3, 4, 6})",1.47,1.26,-0.21,1.46,0.01,1.25,0.01
141,"[0, 2, 3, 7]",1.55,"frozenset({0, 2, 3, 7})",1.49,1.35,-0.12,1.46,0.03,1.34,0.01
140,"[2, 3, 7]",1.39,"frozenset({2, 3, 7})",1.35,1.26,-0.09,1.34,0.01,1.25,0.01
142,"[1, 2, 3, 7]",1.53,"frozenset({1, 2, 3, 7})",1.48,1.35,-0.1,1.44,0.04,1.34,0.01
152,"[3, 4, 7]",1.29,"frozenset({3, 4, 7})",1.26,1.2,-0.06,1.25,0.01,1.19,0.01
148,"[2, 4, 7]",1.38,"frozenset({2, 4, 7})",1.35,1.2,-0.15,1.34,0.01,1.19,0.01
116,"[2, 4, 5, 6]",1.37,"frozenset({2, 4, 5, 6})",1.35,1.17,-0.18,1.34,0.01,1.16,0.01
60,"[2, 3, 4, 5]",1.38,"frozenset({2, 3, 4, 5})",1.35,1.26,-0.09,1.34,0.01,1.25,0.01
160,"[5, 7]",1.25,"frozenset({5, 7})",1.21,1.21,0.01,1.19,0.02,1.19,0.02
114,"[1, 4, 5, 6]",1.49,"frozenset({1, 4, 5, 6})",1.45,1.17,-0.28,1.44,0.01,1.16,0.01
161,"[0, 5, 7]",1.53,"frozenset({0, 5, 7})",1.47,1.21,-0.26,1.46,0.01,1.19,0.02
115,"[0, 1, 4, 5, 6]",1.51,"frozenset({0, 1, 4, 5, 6})",1.47,1.17,-0.3,1.46,0.01,1.16,0.01
106,"[1, 3, 5, 6]",1.49,"frozenset({1, 3, 5, 6})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
162,"[1, 5, 7]",1.5,"frozenset({1, 5, 7})",1.45,1.21,-0.24,1.44,0.01,1.19,0.02
62,"[1, 2, 3, 4, 5]",1.52,"frozenset({1, 2, 3, 4, 5})",1.48,1.26,-0.19,1.44,0.04,1.25,0.01
163,"[0, 1, 5, 7]",1.52,"frozenset({0, 1, 5, 7})",1.47,1.45,-0.02,1.46,0.01,1.44,0.01
90,"[1, 3, 4, 6]",1.49,"frozenset({1, 3, 4, 6})",1.45,1.26,-0.19,1.44,0.01,1.25,0.01
