chosen_cols_set,gSval_half,gSval_naive,gSval_naive_half,diff
"frozenset({0, 1, 2, 4})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 3, 8})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 4, 17})",1.44,1.44,1.42,0.02
"frozenset({0, 10, 2, 3})",1.0,1.44,1.0,0.0
"frozenset({0, 17, 2, 3})",1.0,1.44,1.0,0.0
"frozenset({0, 2, 3, 4})",1.0,1.44,1.0,0.0
"frozenset({0, 8, 2, 3})",1.0,1.44,1.0,0.0
"frozenset({0, 1, 3, 12})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 3, 20})",1.0,1.44,1.0,0.0
"frozenset({0, 2, 3, 13})",1.0,1.44,1.0,0.0
"frozenset({0, 1, 2, 3})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 4, 16})",1.45,1.44,1.42,0.03
"frozenset({0, 1, 2, 20})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 4, 20})",1.0,1.44,1.0,0.0
"frozenset({0, 16, 2, 3})",1.33,1.44,1.3,0.03
"frozenset({0, 2, 3, 15})",1.08,1.44,1.07,0.01
"frozenset({0, 1, 18, 4})",1.44,1.44,1.42,0.02
"frozenset({0, 19, 2, 3})",1.05,1.44,1.05,0.0
"frozenset({0, 1, 2, 14})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 3, 7})",1.1,1.44,1.09,0.01
"frozenset({0, 8, 2, 4})",1.0,1.44,1.0,0.0
"frozenset({0, 9, 2, 3})",1.14,1.44,1.13,0.01
"frozenset({0, 1, 3, 20})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 3, 12})",1.0,1.44,1.0,0.0
"frozenset({0, 18, 2, 3})",1.02,1.44,1.02,0.0
"frozenset({0, 1, 10, 3})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 2, 8})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 4, 12})",1.0,1.44,1.0,0.0
"frozenset({0, 2, 10, 4})",1.0,1.44,1.0,0.0
"frozenset({0, 17, 2, 4})",1.0,1.44,1.0,0.0
"frozenset({0, 1, 4, 8})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 2, 6})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 4, 13})",1.0,1.44,1.0,0.0
"frozenset({0, 1, 3, 13})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 3, 4})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 3, 14})",1.19,1.44,1.17,0.02
"frozenset({0, 1, 4, 6})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 2, 17})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 4, 13})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 10, 8})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 3, 17})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 4, 7})",1.1,1.44,1.09,0.01
"frozenset({0, 1, 2, 12})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 3, 6})",1.25,1.44,1.23,0.02
"frozenset({0, 2, 4, 6})",1.25,1.44,1.23,0.02
"frozenset({0, 1, 2, 9})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 4, 20})",1.44,1.44,1.42,0.02
"frozenset({0, 11, 2, 3})",1.15,1.44,1.14,0.01
"frozenset({0, 1, 9, 16})",1.45,1.44,1.42,0.03
"frozenset({0, 1, 3, 7})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 2, 19})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 18, 7})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 20, 8})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 10, 4})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 19, 4})",1.05,1.44,1.05,0.0
"frozenset({0, 1, 2, 16})",1.45,1.44,1.42,0.03
"frozenset({0, 2, 4, 15})",1.08,1.44,1.07,0.01
"frozenset({0, 1, 2, 13})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 19, 6})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 4, 12})",1.44,1.44,1.42,0.02
"frozenset({0, 1, 2, 10})",1.44,1.44,1.42,0.02
"frozenset({0, 2, 18, 4})",1.02,1.44,1.02,0.0
"frozenset({0, 16, 2, 4})",1.33,1.44,1.3,0.03
