,chosen_cols_set,gSval(s)_closed,gSval(s)_half,gSval(s)_naive,gSval(s)_naive_half,half(s)_diff
17,"frozenset({0, 1, 5, 6})",1.49,1.47,1.46,1.44,0.03
22,"frozenset({0, 1, 6, 7})",1.47,1.45,1.46,1.44,0.01
25,"frozenset({0, 1, 5, 9})",1.49,1.47,1.46,1.44,0.03
31,"frozenset({0, 1, 5, 7})",1.49,1.47,1.46,1.44,0.03
32,"frozenset({0, 5, 6, 7})",1.49,1.35,1.46,1.34,0.01
33,"frozenset({1, 5, 6, 7})",1.48,1.35,1.44,1.34,0.01
40,"frozenset({0, 1, 9, 7})",1.47,1.45,1.46,1.44,0.01
41,"frozenset({0, 1, 6, 9})",1.47,1.45,1.46,1.44,0.01
44,"frozenset({1, 5, 9, 7})",1.48,1.35,1.44,1.34,0.01
47,"frozenset({0, 9, 5, 7})",1.49,1.35,1.46,1.34,0.01
55,"frozenset({0, 1, 11, 6})",1.47,1.45,1.46,1.44,0.01
59,"frozenset({0, 1, 11, 5})",1.49,1.47,1.46,1.44,0.03
62,"frozenset({1, 11, 5, 6})",1.48,1.35,1.44,1.34,0.01
63,"frozenset({0, 11, 5, 6})",1.49,1.35,1.46,1.34,0.01
68,"frozenset({0, 1, 11, 7})",1.47,1.45,1.46,1.44,0.01
70,"frozenset({0, 1, 11, 9})",1.47,1.45,1.46,1.44,0.01
71,"frozenset({1, 11, 5, 7})",1.48,1.35,1.44,1.34,0.01
76,"frozenset({0, 11, 5, 7})",1.49,1.35,1.46,1.34,0.01
79,"frozenset({1, 9, 6, 7})",1.45,1.26,1.44,1.25,0.01
84,"frozenset({0, 9, 6, 7})",1.47,1.26,1.46,1.25,0.01
88,"frozenset({0, 1, 6, 14})",1.47,1.45,1.46,1.44,0.01
89,"frozenset({0, 1, 5, 14})",1.49,1.47,1.46,1.44,0.03
95,"frozenset({0, 9, 11, 7})",1.47,1.17,1.46,1.16,0.01
99,"frozenset({0, 1, 14, 7})",1.47,1.45,1.46,1.44,0.01
101,"frozenset({1, 5, 14, 7})",1.48,1.35,1.44,1.34,0.01
103,"frozenset({0, 5, 14, 7})",1.49,1.35,1.46,1.34,0.01
104,"frozenset({0, 11, 6, 7})",1.47,1.26,1.46,1.25,0.01
105,"frozenset({0, 5, 6, 14})",1.49,1.35,1.46,1.34,0.01
107,"frozenset({1, 5, 6, 14})",1.48,1.35,1.44,1.34,0.01
110,"frozenset({9, 11, 5, 7})",1.35,1.17,1.34,1.16,0.01
111,"frozenset({9, 5, 6, 7})",1.35,1.26,1.34,1.25,0.01
113,"frozenset({1, 11, 9, 7})",1.45,1.17,1.44,1.16,0.01
116,"frozenset({1, 11, 6, 9})",1.45,1.26,1.44,1.25,0.01
119,"frozenset({0, 1, 9, 14})",1.47,1.45,1.46,1.44,0.01
120,"frozenset({1, 11, 6, 7})",1.45,1.26,1.44,1.25,0.01
123,"frozenset({11, 5, 6, 7})",1.35,1.26,1.34,1.25,0.01
124,"frozenset({0, 14, 6, 7})",1.47,1.26,1.46,1.25,0.01
126,"frozenset({0, 1, 11, 14})",1.47,1.45,1.46,1.44,0.01
133,"frozenset({1, 11, 5, 14})",1.48,1.35,1.44,1.34,0.01
134,"frozenset({0, 9, 5, 6})",1.49,1.35,1.46,1.34,0.01
135,"frozenset({0, 11, 5, 14})",1.49,1.35,1.46,1.34,0.01
136,"frozenset({0, 9, 11, 6})",1.47,1.26,1.46,1.25,0.01
137,"frozenset({0, 9, 14, 7})",1.47,1.21,1.46,1.19,0.02
141,"frozenset({14, 5, 6, 7})",1.35,1.26,1.34,1.25,0.01
146,"frozenset({0, 9, 6, 14})",1.47,1.27,1.46,1.25,0.02
147,"frozenset({1, 14, 6, 7})",1.45,1.26,1.44,1.25,0.01
148,"frozenset({1, 14, 9, 7})",1.45,1.21,1.44,1.19,0.02
155,"frozenset({1, 11, 5, 9})",1.48,1.35,1.44,1.34,0.01
156,"frozenset({1, 5, 6, 9})",1.48,1.35,1.44,1.34,0.01
158,"frozenset({9, 11, 6, 7})",1.26,1.17,1.25,1.16,0.01
159,"frozenset({0, 11, 14, 7})",1.47,1.21,1.46,1.19,0.02
164,"frozenset({11, 5, 14, 7})",1.35,1.21,1.34,1.19,0.02
168,"frozenset({1, 11, 14, 7})",1.45,1.21,1.44,1.19,0.02
176,"frozenset({1, 11, 6, 14})",1.45,1.26,1.44,1.25,0.01
181,"frozenset({0, 1, 15, 7})",1.47,1.45,1.46,1.44,0.01
182,"frozenset({9, 14, 6, 7})",1.27,1.21,1.25,1.19,0.02
183,"frozenset({9, 11, 5, 6})",1.35,1.26,1.34,1.25,0.01
185,"frozenset({0, 1, 6, 15})",1.47,1.45,1.46,1.44,0.01
187,"frozenset({0, 15, 5, 7})",1.49,1.35,1.46,1.34,0.01
194,"frozenset({1, 5, 6, 15})",1.48,1.35,1.44,1.34,0.01
197,"frozenset({0, 5, 6, 15})",1.49,1.35,1.46,1.34,0.01
198,"frozenset({9, 5, 6, 14})",1.35,1.27,1.34,1.25,0.02
201,"frozenset({0, 9, 5, 14})",1.49,1.35,1.46,1.34,0.01
204,"frozenset({0, 1, 5, 15})",1.49,1.47,1.46,1.44,0.03
208,"frozenset({1, 11, 9, 14})",1.45,1.21,1.44,1.19,0.02
209,"frozenset({0, 9, 11, 5})",1.49,1.35,1.46,1.34,0.01
210,"frozenset({0, 9, 11, 14})",1.47,1.21,1.46,1.19,0.02
213,"frozenset({0, 1, 9, 15})",1.47,1.45,1.46,1.44,0.01
215,"frozenset({1, 15, 5, 7})",1.48,1.35,1.44,1.34,0.01
220,"frozenset({0, 11, 6, 14})",1.47,1.26,1.46,1.25,0.01
221,"frozenset({1, 5, 9, 14})",1.48,1.35,1.44,1.34,0.01
222,"frozenset({11, 14, 6, 7})",1.26,1.21,1.25,1.19,0.02
228,"frozenset({9, 5, 14, 7})",1.35,1.21,1.34,1.19,0.02
238,"frozenset({0, 1, 11, 15})",1.47,1.45,1.46,1.44,0.01
242,"frozenset({11, 5, 6, 14})",1.35,1.26,1.34,1.25,0.01
251,"frozenset({1, 15, 6, 7})",1.45,1.26,1.44,1.25,0.01
252,"frozenset({0, 9, 6, 15})",1.47,1.26,1.46,1.25,0.01
258,"frozenset({0, 9, 15, 7})",1.47,1.15,1.46,1.15,0.0
263,"frozenset({0, 15, 6, 7})",1.47,1.26,1.46,1.25,0.01
265,"frozenset({0, 9, 5, 15})",1.49,1.35,1.46,1.34,0.01
266,"frozenset({9, 11, 5, 14})",1.35,1.21,1.34,1.19,0.02
272,"frozenset({1, 15, 9, 7})",1.45,1.15,1.44,1.15,0.0
278,"frozenset({1, 11, 5, 15})",1.48,1.35,1.44,1.34,0.01
279,"frozenset({15, 5, 6, 7})",1.35,1.26,1.34,1.25,0.01
280,"frozenset({11, 15, 6, 7})",1.26,1.16,1.25,1.16,0.0
282,"frozenset({0, 11, 6, 15})",1.47,1.26,1.46,1.25,0.01
283,"frozenset({1, 5, 9, 15})",1.48,1.35,1.44,1.34,0.01
284,"frozenset({9, 11, 14, 7})",1.21,1.17,1.19,1.16,0.01
285,"frozenset({9, 15, 6, 7})",1.26,1.15,1.25,1.15,0.0
288,"frozenset({1, 15, 6, 9})",1.45,1.26,1.44,1.25,0.01
289,"frozenset({0, 11, 15, 7})",1.47,1.16,1.46,1.16,0.0
290,"frozenset({9, 5, 6, 15})",1.35,1.26,1.34,1.25,0.01
293,"frozenset({0, 1, 14, 15})",1.47,1.45,1.46,1.44,0.01
297,"frozenset({1, 11, 9, 15})",1.45,1.17,1.44,1.16,0.01
301,"frozenset({0, 9, 11, 15})",1.47,1.17,1.46,1.16,0.01
310,"frozenset({9, 11, 5, 15})",1.35,1.17,1.34,1.16,0.01
311,"frozenset({1, 11, 15, 7})",1.45,1.16,1.44,1.16,0.0
315,"frozenset({9, 11, 6, 14})",1.27,1.21,1.25,1.19,0.02
317,"frozenset({9, 15, 5, 7})",1.35,1.15,1.34,1.15,0.0
323,"frozenset({1, 11, 6, 15})",1.45,1.26,1.44,1.25,0.01
333,"frozenset({0, 11, 5, 15})",1.49,1.35,1.46,1.34,0.01
344,"frozenset({11, 5, 6, 15})",1.35,1.26,1.34,1.25,0.01
347,"frozenset({1, 15, 9, 14})",1.45,1.21,1.44,1.19,0.02
352,"frozenset({9, 11, 6, 15})",1.26,1.17,1.25,1.16,0.01
358,"frozenset({1, 14, 6, 9})",1.45,1.27,1.44,1.25,0.02
359,"frozenset({1, 15, 14, 7})",1.45,1.2,1.44,1.19,0.01
361,"frozenset({0, 5, 14, 15})",1.49,1.35,1.46,1.34,0.01
362,"frozenset({11, 15, 5, 7})",1.35,1.16,1.34,1.16,0.0
366,"frozenset({9, 11, 15, 7})",1.17,1.15,1.16,1.15,0.0
368,"frozenset({0, 15, 6, 14})",1.47,1.26,1.46,1.25,0.01
369,"frozenset({0, 15, 14, 7})",1.47,1.2,1.46,1.19,0.01
373,"frozenset({0, 9, 14, 15})",1.47,1.21,1.46,1.19,0.02
377,"frozenset({15, 5, 14, 7})",1.35,1.2,1.34,1.19,0.01
380,"frozenset({1, 15, 6, 14})",1.45,1.26,1.44,1.25,0.01
381,"frozenset({14, 15, 6, 7})",1.26,1.2,1.25,1.19,0.01
382,"frozenset({15, 5, 6, 14})",1.35,1.26,1.34,1.25,0.01
388,"frozenset({9, 5, 14, 15})",1.35,1.21,1.34,1.19,0.02
396,"frozenset({11, 5, 14, 15})",1.35,1.21,1.34,1.19,0.02
397,"frozenset({9, 15, 6, 14})",1.27,1.21,1.25,1.19,0.02
412,"frozenset({1, 11, 14, 15})",1.45,1.21,1.44,1.19,0.02
414,"frozenset({1, 5, 14, 15})",1.48,1.35,1.44,1.34,0.01
422,"frozenset({0, 11, 14, 15})",1.47,1.21,1.46,1.19,0.02
435,"frozenset({0, 1, 5, 16})",1.53,1.48,1.46,1.44,0.04
445,"frozenset({9, 15, 14, 7})",1.21,1.15,1.19,1.15,0.0
453,"frozenset({0, 1, 16, 7})",1.48,1.47,1.46,1.44,0.03
457,"frozenset({0, 1, 6, 16})",1.5,1.47,1.46,1.44,0.03
458,"frozenset({16, 1, 5, 7})",1.53,1.43,1.44,1.34,0.09
460,"frozenset({0, 16, 5, 6})",1.53,1.43,1.46,1.34,0.09
463,"frozenset({16, 1, 5, 6})",1.53,1.43,1.44,1.34,0.09
465,"frozenset({0, 16, 5, 7})",1.53,1.43,1.46,1.34,0.09
470,"frozenset({0, 1, 9, 16})",1.48,1.47,1.46,1.44,0.03
482,"frozenset({11, 15, 14, 7})",1.21,1.16,1.19,1.16,0.0
486,"frozenset({0, 1, 11, 16})",1.48,1.47,1.46,1.44,0.03
492,"frozenset({0, 16, 11, 5})",1.53,1.43,1.46,1.34,0.09
497,"frozenset({9, 11, 14, 15})",1.21,1.17,1.19,1.16,0.01
498,"frozenset({16, 1, 11, 5})",1.53,1.43,1.44,1.34,0.09
500,"frozenset({0, 9, 16, 7})",1.48,1.32,1.46,1.31,0.01
503,"frozenset({11, 15, 6, 14})",1.26,1.21,1.25,1.19,0.02
519,"frozenset({0, 16, 11, 7})",1.48,1.32,1.46,1.31,0.01
523,"frozenset({16, 1, 6, 7})",1.49,1.37,1.44,1.31,0.06
524,"frozenset({16, 1, 5, 9})",1.53,1.43,1.44,1.34,0.09
525,"frozenset({16, 1, 6, 9})",1.49,1.37,1.44,1.31,0.06
527,"frozenset({16, 9, 5, 6})",1.43,1.35,1.34,1.31,0.04
530,"frozenset({16, 5, 6, 7})",1.43,1.35,1.34,1.31,0.04
531,"frozenset({0, 16, 6, 7})",1.5,1.37,1.46,1.31,0.06
535,"frozenset({0, 9, 5, 16})",1.53,1.43,1.46,1.34,0.09
536,"frozenset({16, 1, 11, 7})",1.47,1.32,1.44,1.31,0.01
544,"frozenset({16, 1, 11, 9})",1.47,1.32,1.44,1.31,0.01
545,"frozenset({16, 1, 9, 7})",1.47,1.32,1.44,1.31,0.01
549,"frozenset({16, 1, 11, 6})",1.49,1.37,1.44,1.31,0.06
555,"frozenset({16, 9, 11, 6})",1.37,1.26,1.31,1.25,0.01
557,"frozenset({16, 11, 5, 6})",1.43,1.35,1.34,1.31,0.04
560,"frozenset({0, 1, 14, 16})",1.48,1.47,1.46,1.44,0.03
561,"frozenset({0, 9, 11, 16})",1.48,1.32,1.46,1.31,0.01
563,"frozenset({16, 11, 5, 7})",1.43,1.32,1.34,1.31,0.01
565,"frozenset({16, 11, 6, 7})",1.37,1.26,1.31,1.25,0.01
566,"frozenset({0, 16, 11, 6})",1.5,1.37,1.46,1.31,0.06
567,"frozenset({0, 9, 6, 16})",1.5,1.37,1.46,1.31,0.06
