cR,result
"[0, 1, 2, 4]",[1.   1.   1.44 1.46]
"[0, 1, 3, 8]",[1.   1.   1.44 1.46]
"[0, 1, 4, 17]",[1.   1.   1.44 1.46]
"[0, 2, 3, 10]",[1.   1.   1.   1.46]
"[0, 2, 3, 17]",[1.   1.   1.   1.46]
"[0, 2, 3, 4]",[1.   1.   1.   1.46]
"[0, 2, 3, 8]",[1.   1.   1.   1.46]
"[0, 1, 3, 12]",[1.   1.   1.44 1.46]
"[0, 2, 3, 20]",[1.   1.   1.   1.46]
"[0, 2, 3, 13]",[1.   1.   1.   1.46]
"[0, 1, 2, 3]",[1.   1.   1.44 1.46]
"[0, 1, 4, 16]",[1.   1.33 1.45 1.46]
"[0, 1, 2, 20]",[1.   1.   1.44 1.46]
"[0, 2, 4, 20]",[1.   1.   1.   1.46]
"[0, 2, 3, 16]",[1.   1.   1.33 1.46]
"[0, 2, 3, 15]",[1.   1.   1.08 1.46]
"[0, 1, 4, 18]",[1.   1.02 1.44 1.46]
"[0, 2, 3, 19]",[1.   1.   1.05 1.46]
"[0, 1, 2, 14]",[1.   1.19 1.44 1.46]
"[0, 2, 3, 7]",[1.   1.   1.1  1.46]
"[0, 2, 4, 8]",[1.   1.   1.   1.46]
"[0, 2, 3, 9]",[1.   1.   1.14 1.46]
"[0, 1, 3, 20]",[1.   1.   1.44 1.46]
"[0, 2, 3, 12]",[1.   1.   1.   1.46]
"[0, 2, 3, 18]",[1.   1.   1.02 1.46]
"[0, 1, 3, 10]",[1.   1.   1.44 1.46]
"[0, 1, 2, 8]",[1.   1.   1.44 1.46]
"[0, 2, 4, 12]",[1.   1.   1.   1.46]
"[0, 2, 4, 10]",[1.   1.   1.   1.46]
"[0, 2, 4, 17]",[1.   1.   1.   1.46]
"[0, 1, 4, 8]",[1.   1.   1.44 1.46]
"[0, 1, 2, 6]",[1.   1.25 1.44 1.46]
"[0, 2, 4, 13]",[1.   1.   1.   1.46]
"[0, 1, 3, 13]",[1.   1.   1.44 1.46]
"[0, 1, 3, 4]",[1.   1.   1.44 1.46]
"[0, 2, 3, 14]",[1.   1.   1.19 1.46]
"[0, 1, 4, 6]",[1.   1.25 1.44 1.46]
"[0, 1, 2, 17]",[1.   1.   1.44 1.46]
"[0, 1, 4, 13]",[1.   1.   1.44 1.46]
"[0, 1, 8, 10]",[1.   1.   1.44 1.46]
"[0, 1, 3, 17]",[1.   1.   1.44 1.46]
"[0, 2, 4, 7]",[1.   1.   1.1  1.46]
"[0, 1, 2, 12]",[1.   1.   1.44 1.46]
"[0, 2, 3, 6]",[1.   1.   1.25 1.46]
"[0, 2, 4, 6]",[1.   1.   1.25 1.46]
"[0, 1, 2, 9]",[1.   1.14 1.44 1.46]
"[0, 1, 4, 20]",[1.   1.   1.44 1.46]
"[0, 2, 3, 11]",[1.   1.   1.15 1.46]
"[0, 1, 9, 16]",[1.14 1.33 1.45 1.46]
"[0, 1, 3, 7]",[1.   1.1  1.44 1.46]
"[0, 1, 2, 19]",[1.   1.05 1.44 1.46]
"[0, 1, 7, 18]",[1.02 1.1  1.44 1.46]
"[0, 1, 8, 20]",[1.   1.   1.44 1.46]
"[0, 1, 4, 10]",[1.   1.   1.44 1.46]
"[0, 2, 4, 19]",[1.   1.   1.05 1.46]
"[0, 1, 2, 16]",[1.   1.33 1.45 1.46]
"[0, 2, 4, 15]",[1.   1.   1.08 1.46]
"[0, 1, 2, 13]",[1.   1.   1.44 1.46]
"[0, 1, 6, 19]",[1.05 1.25 1.44 1.46]
"[0, 1, 4, 12]",[1.   1.   1.44 1.46]
"[0, 1, 2, 10]",[1.   1.   1.44 1.46]
"[0, 2, 4, 18]",[1.   1.   1.02 1.46]
"[0, 2, 4, 16]",[1.   1.   1.33 1.46]
"[0, 1, 6, 18]",[1.02 1.25 1.44 1.46]
"[0, 1, 6, 7]",[1.1  1.25 1.44 1.46]
"[0, 1, 6, 17]",[1.   1.25 1.44 1.46]
"[0, 1, 6, 8]",[1.   1.25 1.44 1.46]
"[0, 1, 3, 16]",[1.   1.33 1.45 1.46]
"[0, 1, 2, 15]",[1.   1.08 1.44 1.46]
"[0, 1, 4, 19]",[1.   1.05 1.44 1.46]
"[0, 1, 6, 12]",[1.   1.25 1.44 1.46]
"[0, 1, 7, 9]",[1.1  1.14 1.44 1.46]
"[0, 1, 4, 11]",[1.   1.15 1.44 1.46]
"[0, 1, 8, 13]",[1.   1.   1.44 1.46]
"[0, 1, 8, 15]",[1.   1.08 1.44 1.46]
"[0, 2, 4, 9]",[1.   1.   1.14 1.46]
"[0, 1, 6, 10]",[1.   1.25 1.44 1.46]
"[0, 1, 6, 15]",[1.08 1.25 1.44 1.46]
"[0, 1, 9, 10]",[1.   1.14 1.44 1.46]
"[0, 1, 9, 13]",[1.   1.14 1.44 1.46]
"[0, 1, 2, 7]",[1.   1.1  1.44 1.46]
"[0, 1, 9, 12]",[1.   1.14 1.44 1.46]
"[0, 1, 2, 18]",[1.   1.02 1.44 1.46]
"[0, 2, 4, 14]",[1.   1.   1.19 1.46]
"[0, 1, 8, 17]",[1.   1.   1.44 1.46]
"[0, 2, 8, 10]",[1.   1.   1.   1.46]
"[0, 2, 4, 11]",[1.   1.   1.15 1.46]
"[0, 1, 15, 16]",[1.08 1.33 1.45 1.46]
"[0, 1, 18, 19]",[1.02 1.05 1.44 1.46]
"[0, 1, 6, 20]",[1.   1.25 1.44 1.46]
"[0, 1, 4, 15]",[1.   1.08 1.44 1.46]
"[0, 1, 4, 7]",[1.   1.1  1.44 1.46]
"[0, 1, 3, 14]",[1.   1.19 1.44 1.46]
"[0, 1, 3, 9]",[1.   1.14 1.44 1.46]
"[0, 1, 3, 11]",[1.   1.15 1.44 1.46]
"[0, 1, 10, 13]",[1.   1.   1.44 1.46]
"[0, 1, 8, 14]",[1.   1.19 1.44 1.46]
"[0, 2, 8, 13]",[1.   1.   1.   1.46]
"[0, 2, 4, 5]",[1.   1.   1.35 1.47]
"[0, 1, 19, 20]",[1.   1.05 1.44 1.46]
"[0, 1, 4, 14]",[1.   1.19 1.44 1.46]
"[0, 1, 10, 20]",[1.   1.   1.44 1.46]
"[0, 1, 3, 15]",[1.   1.08 1.44 1.46]
"[0, 1, 10, 17]",[1.   1.   1.44 1.46]
"[0, 1, 8, 16]",[1.   1.33 1.45 1.46]
"[0, 2, 8, 17]",[1.   1.   1.   1.46]
"[0, 1, 18, 20]",[1.   1.02 1.44 1.46]
"[0, 1, 14, 16]",[1.19 1.33 1.45 1.46]
"[0, 1, 2, 11]",[1.   1.15 1.44 1.46]
"[0, 2, 8, 16]",[1.   1.   1.33 1.46]
"[0, 1, 17, 20]",[1.   1.   1.44 1.46]
"[0, 1, 15, 17]",[1.   1.08 1.44 1.46]
"[0, 1, 8, 11]",[1.   1.15 1.44 1.46]
"[0, 2, 7, 12]",[1.   1.   1.1  1.46]
"[0, 2, 10, 12]",[1.   1.   1.   1.46]
"[0, 1, 9, 17]",[1.   1.14 1.44 1.46]
"[0, 1, 7, 20]",[1.   1.1  1.44 1.46]
"[0, 1, 12, 17]",[1.   1.   1.44 1.46]
"[0, 1, 11, 13]",[1.   1.15 1.44 1.46]
"[0, 1, 3, 6]",[1.   1.25 1.44 1.46]
"[0, 1, 14, 18]",[1.02 1.19 1.44 1.46]
"[0, 2, 8, 12]",[1.   1.   1.   1.46]
"[0, 1, 8, 19]",[1.   1.05 1.44 1.46]
"[0, 1, 14, 17]",[1.   1.19 1.44 1.46]
"[0, 1, 15, 18]",[1.02 1.08 1.44 1.46]
"[0, 1, 13, 17]",[1.   1.   1.44 1.46]
"[0, 1, 6, 11]",[1.15 1.25 1.44 1.46]
"[0, 1, 7, 10]",[1.   1.1  1.44 1.46]
"[0, 1, 9, 19]",[1.05 1.14 1.44 1.46]
"[0, 2, 12, 20]",[1.   1.   1.   1.46]
"[0, 2, 10, 13]",[1.   1.   1.   1.46]
"[0, 1, 13, 20]",[1.   1.   1.44 1.46]
"[0, 2, 8, 19]",[1.   1.   1.05 1.46]
"[0, 1, 9, 15]",[1.08 1.14 1.44 1.46]
"[0, 1, 12, 20]",[1.   1.   1.44 1.46]
"[0, 1, 8, 18]",[1.   1.02 1.44 1.46]
"[0, 1, 14, 20]",[1.   1.19 1.44 1.46]
"[0, 1, 10, 16]",[1.   1.33 1.45 1.46]
"[0, 1, 11, 14]",[1.15 1.19 1.44 1.46]
"[0, 1, 4, 9]",[1.   1.14 1.44 1.46]
"[0, 1, 7, 16]",[1.1  1.33 1.45 1.46]
"[0, 2, 6, 13]",[1.   1.   1.25 1.46]
"[0, 1, 9, 18]",[1.02 1.14 1.44 1.46]
"[0, 2, 10, 20]",[1.   1.   1.   1.46]
"[0, 1, 9, 20]",[1.   1.14 1.44 1.46]
"[0, 2, 8, 18]",[1.   1.   1.02 1.46]
"[0, 2, 6, 10]",[1.   1.   1.25 1.46]
"[0, 1, 6, 9]",[1.14 1.25 1.44 1.46]
"[0, 2, 8, 20]",[1.   1.   1.   1.46]
"[0, 2, 6, 8]",[1.   1.   1.25 1.46]
"[0, 2, 10, 15]",[1.   1.   1.08 1.46]
"[0, 1, 6, 13]",[1.   1.25 1.44 1.46]
"[0, 2, 12, 17]",[1.   1.   1.   1.46]
"[0, 2, 12, 13]",[1.   1.   1.   1.46]
"[0, 2, 13, 17]",[1.   1.   1.   1.46]
"[0, 1, 10, 19]",[1.   1.05 1.44 1.46]
"[0, 1, 10, 18]",[1.   1.02 1.44 1.46]
"[0, 1, 12, 13]",[1.   1.   1.44 1.46]
"[0, 2, 6, 15]",[1.   1.08 1.25 1.46]
"[0, 2, 8, 15]",[1.   1.   1.08 1.46]
"[0, 1, 13, 16]",[1.   1.33 1.45 1.46]
"[0, 2, 7, 17]",[1.   1.   1.1  1.46]
"[0, 2, 7, 13]",[1.   1.   1.1  1.46]
"[0, 1, 5, 11]",[1.15 1.35 1.46 1.47]
"[0, 2, 12, 15]",[1.   1.   1.08 1.46]
"[0, 2, 10, 14]",[1.   1.   1.19 1.46]
"[0, 2, 10, 17]",[1.   1.   1.   1.46]
"[0, 1, 16, 19]",[1.05 1.33 1.45 1.46]
"[0, 1, 10, 12]",[1.   1.   1.44 1.46]
"[0, 2, 6, 12]",[1.   1.   1.25 1.46]
"[0, 2, 8, 11]",[1.   1.   1.15 1.46]
"[0, 1, 13, 19]",[1.   1.05 1.44 1.46]
