Gamma,cR,fast_closed_runtime,closed_runtime,fast_closed_result,closed_result
1.1,"[0, 1, 5, 16]",1.3766417503356934,1.3919997215270996,"({0, 1, 5, 16}, 0)","({0, 1, 5, 16}, 0)"
1.2,"[0, 1, 5, 16]",1.410485029220581,1.4312803745269775,"({0, 1, 5, 16}, 0)","({0, 1, 5, 16}, 0)"
1.3,"[0, 1, 5, 16]",1.37650465965271,1.3777122497558594,"({0, 1, 5, 16}, 0)","({0, 1, 5, 16}, 0)"
1.4,"[0, 1, 5, 16]",188.3553750514984,354.9975368976593,"({0, 1}, 2)","({0, 1}, 2)"
1.5,"[0, 1, 5, 16]",300.6294779777527,1049.080177783966,"(set(), 2)","(set(), 1)"
1.6,"[0, 1, 5, 16]",70.71265029907227,2.4730687141418457,"(set(), 1)","(set(), 1)"
1.7,"[0, 1, 5, 16]",1.3544669151306152,1.3499467372894287,"(set(), 0)","(set(), 0)"
1.1,"[1, 5, 14, 16]",1.3736491203308105,1.3953680992126465,"({16, 1, 5, 14}, 0)","({16, 1, 5, 14}, 0)"
1.2,"[1, 5, 14, 16]",75.47630310058594,2367.33505320549,"({16, 1, 5}, 1)","({16, 1, 5}, 1)"
1.3,"[1, 5, 14, 16]",1.4057738780975342,1.3964314460754395,"({16, 1, 5}, 0)","({16, 1, 5}, 0)"
1.4,"[1, 5, 14, 16]",217.39159870147705,479.4058949947357,"({1}, 2)","({1}, 2)"
1.5,"[1, 5, 14, 16]",117.36372399330139,67.4371292591095,"(set(), 1)","(set(), 1)"
1.6,"[1, 5, 14, 16]",1.3793065547943115,1.3779621124267578,"(set(), 0)","(set(), 0)"
1.7,"[1, 5, 14, 16]",1.3898155689239502,1.3853626251220703,"(set(), 0)","(set(), 0)"
1.1,"[5, 16, 0, 1]",1.3845632076263428,1.380692481994629,"({16, 0, 5, 1}, 0)","({16, 0, 5, 1}, 0)"
1.2,"[5, 16, 0, 1]",1.3783481121063232,1.373859167098999,"({16, 0, 5, 1}, 0)","({16, 0, 5, 1}, 0)"
1.3,"[5, 16, 0, 1]",1.36775803565979,1.3667881488800049,"({16, 0, 5, 1}, 0)","({16, 0, 5, 1}, 0)"
1.4,"[5, 16, 0, 1]",191.07927203178406,415.1290316581726,"({0, 1}, 2)","({0, 1}, 2)"
1.5,"[5, 16, 0, 1]",345.91027331352234,1172.7611663341522,"(set(), 2)","(set(), 1)"
1.6,"[5, 16, 0, 1]",76.35010242462158,2.4544100761413574,"(set(), 1)","(set(), 1)"
1.7,"[5, 16, 0, 1]",1.3453245162963867,1.3495948314666748,"(set(), 0)","(set(), 0)"
