Gamma,cR,result
1.2,"[0, 1, 2, 9]",2
1.54,"[1, 2, 7, 9]",4
1.39,"[0, 1, 2, 9]",2
1.3,"[0, 1, 2, 9]",2
1.25,"[0, 1, 2, 9]",2
1.27,"[0, 1, 2, 9]",2
1.34,"[0, 1, 2, 9]",2
1.24,"[1, 2, 7, 9]",3
1.23,"[0, 1, 2, 9]",2
1.29,"[0, 1, 2, 9]",2
1.5,"[1, 2, 7, 9]",4
1.28,"[0, 1, 2, 9]",2
1.36,"[0, 1, 2, 9]",2
1.31,"[0, 1, 2, 9]",2
1.26,"[1, 2, 7, 9]",3
1.26,"[0, 1, 2, 9]",2
1.51,"[1, 2, 7, 9]",4
1.41,"[0, 1, 2, 9]",2
1.4,"[0, 1, 2, 9]",2
1.66,"[1, 2, 7, 9]",4
1.43,"[1, 2, 7, 9]",3
1.32,"[1, 2, 7, 9]",3
1.37,"[0, 1, 2, 9]",2
1.52,"[1, 2, 7, 9]",4
1.42,"[0, 1, 2, 9]",2
1.6,"[0, 1, 2, 9]",4
1.38,"[0, 1, 2, 9]",2
1.57,"[0, 1, 2, 9]",4
1.54,"[0, 1, 2, 9]",4
1.24,"[0, 1, 2, 9]",2
1.35,"[0, 1, 2, 9]",2
1.43,"[0, 1, 2, 9]",2
1.22,"[0, 1, 2, 9]",2
1.62,"[0, 1, 2, 9]",4
1.55,"[0, 1, 2, 9]",4
1.53,"[1, 2, 7, 9]",4
1.23,"[1, 2, 7, 9]",3
1.39,"[1, 2, 7, 9]",3
1.32,"[0, 1, 2, 9]",2
1.63,"[1, 2, 7, 9]",4
1.27,"[1, 2, 7, 9]",3
1.33,"[0, 1, 2, 9]",2
1.53,"[0, 1, 2, 9]",4
1.7,"[0, 1, 2, 9]",4
1.28,"[1, 2, 7, 9]",3
1.31,"[1, 2, 7, 9]",3
1.58,"[0, 1, 2, 9]",4
1.59,"[1, 2, 7, 9]",4
1.68,"[1, 2, 7, 9]",4
1.57,"[1, 2, 7, 9]",4
1.41,"[1, 2, 7, 9]",3
1.64,"[1, 2, 7, 9]",4
1.35,"[1, 2, 7, 9]",3
1.25,"[1, 2, 7, 9]",3
1.3,"[1, 2, 7, 9]",3
1.21,"[0, 1, 2, 9]",2
1.61,"[0, 1, 2, 9]",4
1.36,"[1, 2, 7, 9]",3
1.7,"[1, 2, 7, 9]",4
1.68,"[0, 1, 2, 9]",4
1.64,"[0, 1, 2, 9]",4
1.55,"[1, 2, 7, 9]",4
1.29,"[1, 2, 7, 9]",3
1.69,"[1, 2, 7, 9]",4
1.63,"[0, 1, 2, 9]",4
1.69,"[0, 1, 2, 9]",4
1.59,"[0, 1, 2, 9]",4
1.21,"[1, 2, 7, 9]",3
1.65,"[0, 1, 2, 9]",4
1.4,"[1, 2, 7, 9]",3
1.66,"[0, 1, 2, 9]",4
1.67,"[0, 1, 2, 9]",4
1.49,"[1, 2, 7, 9]",4
1.65,"[1, 2, 7, 9]",4
1.6,"[1, 2, 7, 9]",4
1.52,"[0, 1, 2, 9]",4
1.34,"[1, 2, 7, 9]",3
1.56,"[0, 1, 2, 9]",4
1.2,"[1, 2, 7, 9]",3
1.58,"[1, 2, 7, 9]",4
1.62,"[1, 2, 7, 9]",4
1.38,"[1, 2, 7, 9]",3
1.22,"[1, 2, 7, 9]",3
1.61,"[1, 2, 7, 9]",4
1.56,"[1, 2, 7, 9]",4
1.42,"[1, 2, 7, 9]",3
1.33,"[1, 2, 7, 9]",3
1.67,"[1, 2, 7, 9]",4
1.37,"[1, 2, 7, 9]",3
1.48,"[1, 2, 7, 9]",4
1.47,"[1, 2, 7, 9]",4
1.51,"[0, 1, 2, 9]",4
1.5,"[0, 1, 2, 9]",4
1.46,"[1, 2, 7, 9]",4
1.45,"[1, 2, 7, 9]",4
