gamma,pairs,probability_any_ip_call,average_fraction_called,seed_level_se_any,seed_level_se_fraction,seeds,datasets
1.25,500,0.8484848484848485,0.1606060606060606,0.012043660383760655,0.0034393115265872218,99,990
1.25,1000,0.601010101010101,0.08060606060606061,0.015363052958203212,0.0026622496729907874,99,990
1.25,2000,0.04242424242424243,0.004242424242424242,0.006106812112409475,0.0006106812112409474,99,990
1.25,5000,0.0,0.0,0.0,0.0,99,990
1.25,10000,0.0,0.0,0.0,0.0,99,990
1.5,500,0.473,0.060200000000000004,0.01613422236468592,0.002238235235558803,100,1000
1.5,1000,0.639,0.0933,0.01644673066280802,0.0029406760715141272,100,1000
1.5,2000,0.8270000000000001,0.14679999999999999,0.011621557815568704,0.0030447172332259413,100,1000
1.5,5000,0.821,0.1421,0.012971997813472188,0.0035881257593131355,100,1000
1.5,10000,0.314,0.0366,0.01645440593723987,0.001985909963678712,100,1000
1.75,500,0.047,0.0047,0.006105966613307699,0.0006105966613307698,100,1000
1.75,1000,0.017,0.0017000000000000001,0.004725815626252608,0.00047258156262526085,100,1000
1.75,2000,0.008,0.0008,0.0027265992434429066,0.0002726599243442907,100,1000
1.75,5000,0.0,0.0,0.0,0.0,100,1000
1.75,10000,0.0,0.0,0.0,0.0,100,1000
2.0,500,0.001,0.0001,0.0009999999999999996,9.999999999999998e-05,100,1000
2.0,1000,0.0,0.0,0.0,0.0,100,1000
2.0,2000,0.0,0.0,0.0,0.0,100,1000
2.0,5000,0.0,0.0,0.0,0.0,100,1000
2.0,10000,0.0,0.0,0.0,0.0,100,1000
