setting,replicate,seed,pairs,outcomes,effect_pattern,correlation,gamma,screening_seconds,enumerative_optimization_seconds,miqcp_optimization_seconds,enumerative_total_seconds,miqcp_total_seconds,runtime_ratio,relative_runtime_reduction,number_rejected,rejection_set
1,0,0,500,10,linear,0.0,1.25,0.06491746500250883,0.0007258109981194139,7.990398444235325e-05,0.06564327600062825,0.06499736898695119,1.009937433218362,0.009839652330436377,4,6|7|8|9
2,0,0,500,10,linear,0.0,1.5,0.11487825398216955,6.032001692801714e-06,0.00011818401981145144,0.11488428598386236,0.114996438001981,0.9990247348520768,-0.0009762172185532325,0,
3,0,0,500,10,linear,0.0,1.75,0.11735928000416607,5.608017090708017e-06,6.970399408601224e-05,0.11736488802125677,0.11742898399825208,0.9994541724298981,-0.0005461256605441278,0,
4,0,0,500,10,linear,0.2,1.25,0.08665459899930283,1035.316177980014,123.69137304698233,1035.4028325790132,123.77802764598164,8.364997021445323,0.8804542311926349,2,8|9
5,0,0,500,10,linear,0.2,1.5,0.10711935302242637,2.130400389432907e-05,9.756398503668606e-05,0.1071406570263207,0.10721691700746305,0.9992887318226372,-0.0007117744398712489,0,
6,0,0,500,10,linear,0.2,1.75,0.13539470499381423,1.329201040789485e-05,8.269501267932355e-05,0.13540799700422212,0.13547740000649355,0.9994877152774699,-0.0005125472926776897,0,
7,0,0,500,10,half-null,0.0,1.25,0.08647590997861698,7.777657533995807,7.2796623689937405,7.864133443974424,7.3661382789723575,1.0676060027848868,0.06332486198891185,3,0|1|3
8,0,0,500,10,half-null,0.0,1.5,0.10404060399741866,8288.930885311973,542.3604041170038,8289.03492591597,542.4644447210012,15.280328520294383,0.9345563808610619,0,
9,0,0,500,10,half-null,0.0,1.75,0.11997286201221868,5.872978363186121e-06,0.00011076100054197013,0.11997873499058187,0.12008362301276065,0.999126541825211,-0.0008742217709414302,0,
10,0,0,500,10,half-null,0.2,1.25,0.1012376349826809,3064.3153146760014,727.5053821720066,3064.416552310984,727.6066198069893,4.2116391864657245,0.7625627562746731,1,3
11,0,0,500,10,half-null,0.2,1.5,0.09945358999539167,1.1840020306408405e-05,7.216000813059509e-05,0.09946543001569808,0.09952575000352226,0.9993939258149569,-0.0006064417337225958,0,
12,0,0,500,10,half-null,0.2,1.75,0.13574709498789161,1.1529977200552821e-05,6.853800732642412e-05,0.13575862496509217,0.13581563299521804,0.9995802542839242,-0.0004199219765266271,0,
